Marca de Tiempo,Uso de Memoria (%)
11:15:32,85.1
11:15:33,85.2
11:15:34,85.1
11:15:35,85.0
11:15:36,85.0
11:15:37,85.0
11:15:38,85.0
11:15:39,85.1
11:15:40,85.1
11:15:41,84.2
11:15:42,84.2
11:15:43,84.3
11:15:44,84.3
11:15:45,84.2
11:15:46,84.3
11:15:47,84.3
11:15:48,84.3
11:15:49,84.3
11:15:50,84.4
11:15:51,84.3
11:15:52,84.3
11:15:53,84.3
11:15:54,84.4
11:15:55,85.1
11:15:56,84.8
11:15:57,84.8
11:15:58,84.8
11:15:59,84.7
11:16:00,84.8
11:16:01,84.8
11:16:02,84.8
11:16:03,84.8
11:16:04,84.9
11:16:05,84.8
11:16:06,84.5
11:16:07,84.7
11:16:08,84.7
11:16:09,84.7
11:16:10,84.7
11:16:11,84.8
11:16:12,85.5
11:16:13,85.6
11:16:14,85.5
11:16:15,85.6
11:16:16,85.6
11:16:17,85.8
11:16:18,86.4
11:16:19,86.7
11:16:20,86.9
11:16:21,86.9
11:16:22,86.9
11:16:23,87.0
11:16:24,87.0
11:16:25,87.0
11:16:26,87.3
11:16:27,87.1
11:16:28,86.8
11:16:29,87.2
11:16:30,87.0
11:16:31,87.0
11:16:32,87.0
11:16:33,86.9
11:16:34,86.9
11:16:35,86.9
11:16:36,87.0
11:16:37,87.0
11:16:39,87.3
11:16:40,87.2
11:16:41,87.2
11:16:42,87.2
11:16:43,87.2
11:16:44,87.2
11:16:45,87.2
11:16:46,87.1
11:16:47,86.9
11:16:48,87.3
11:16:49,87.0
11:16:50,86.2
11:16:51,86.2
11:16:52,86.2
11:16:53,86.2
11:16:54,86.1
11:16:55,86.2
11:16:56,85.8
11:16:57,85.8
11:16:58,85.9
11:16:59,86.2
11:17:00,86.1
11:17:01,86.1
11:17:02,86.1
11:17:03,86.1
11:17:04,86.1
11:17:05,86.1
11:17:06,86.1
11:17:07,86.3
11:17:08,86.1
11:17:09,86.2
11:17:10,86.1
11:17:11,86.1
11:17:12,86.1
11:17:13,86.1
11:17:14,86.1
11:17:15,86.2
11:17:16,86.2
11:17:17,86.2
11:17:18,86.3
11:17:19,86.4
11:17:20,86.3
11:17:21,86.4
11:17:22,86.5
11:17:23,86.5
11:17:24,86.4
11:17:25,86.4
11:17:26,86.4
11:17:27,86.4
11:17:28,86.4
11:17:29,86.4
11:17:30,86.3
11:17:31,86.5
11:17:32,86.5
11:17:33,86.5
11:17:34,86.4
11:17:35,86.6
11:17:36,86.7
11:17:37,86.7
11:17:38,86.7
11:17:39,86.7
11:17:40,87.2
11:17:41,87.0
11:17:42,86.9
11:17:43,86.9
11:17:44,86.9
11:17:45,86.9
11:17:46,86.9
11:17:47,87.0
11:17:48,87.0
11:17:49,86.9
11:17:50,86.9
11:17:51,87.0
11:17:52,87.0
11:17:53,87.0
11:17:54,86.9
11:17:55,86.9
11:17:56,86.9
11:17:57,86.9
11:17:58,86.9
11:17:59,87.1
11:18:00,87.1
11:18:01,88.0
11:18:02,85.1
11:18:03,83.2
11:18:04,83.1
11:18:05,82.7
11:18:06,82.7
11:18:07,82.8
11:18:08,82.7
11:18:09,82.9
11:18:10,82.9
11:18:11,82.9
11:18:12,83.0
11:18:13,83.0
11:18:14,83.0
11:18:15,83.0
11:18:16,83.0
11:18:17,83.0
11:18:18,83.1
11:18:19,83.2
11:18:20,83.1
11:18:21,83.1
11:18:22,83.0
11:18:23,83.2
11:18:24,83.1
11:18:25,83.1
11:18:26,83.2
11:18:27,83.2
11:18:28,83.2
11:18:29,83.2
11:18:30,83.2
11:18:31,83.2
11:18:32,83.6
11:18:33,83.6
11:18:34,83.8
11:18:35,83.8
11:18:36,83.7
11:18:37,83.7
11:18:38,83.7
11:18:39,83.7
11:18:40,83.7
11:18:41,83.7
11:18:42,83.7
11:18:43,83.5
11:18:44,83.4
11:18:45,83.4
11:18:46,83.4
11:18:47,83.4
11:18:48,83.6
11:18:49,83.5
11:18:50,83.5
11:18:51,83.7
11:18:52,83.6
11:18:53,84.0
11:18:54,83.8
11:18:55,83.9
11:18:56,83.9
11:18:57,83.9
11:18:58,83.9
11:18:59,83.9
11:19:00,84.0
11:19:01,84.2
11:19:02,84.2
11:19:03,84.0
11:19:04,84.1
11:19:05,84.6
11:19:06,84.8
11:19:07,87.2
11:19:08,88.3
11:19:09,88.3
11:19:10,88.3
11:19:11,88.4
11:19:12,88.3
11:19:13,88.5
11:19:14,88.6
11:19:15,89.2
11:19:16,88.7
11:19:17,89.2
11:19:18,89.2
11:19:19,89.1
11:19:20,89.1
11:19:21,89.1
11:19:22,88.9
11:19:23,89.0
11:19:24,88.5
11:19:25,88.1
11:19:26,88.0
11:19:27,88.3
11:19:28,88.2
11:19:29,87.9
11:19:30,87.9
11:19:31,88.2
11:19:32,88.2
11:19:33,88.2
11:19:34,89.1
11:19:35,88.4
11:19:36,88.5
11:19:37,88.5
11:19:38,88.3
11:19:40,88.4
11:19:41,88.3
11:19:42,87.7
11:19:43,87.8
11:19:44,87.5
11:19:45,86.3
11:19:46,86.4
11:19:47,86.5
11:19:48,86.8
11:19:49,86.5
